USER           PID %CPU %MEM   RSS TT       STAT  STARTED     TIME CMD
wkidd       160821  1.0  3.9 976172 pts/2   S+   21:47:34 00:00:00 tail
blackbeard   21170  0.4  1.7 434584 ?       Sl   20:10:01 00:00:28 /usr/bin/plasmashell
fannybaws    30433  1.4  1.7 429616 ?       Sl   20:57:39 00:00:46 /snap/firefox/2760/usr/lib/firefox/firefox
blackbeard   28530  0.1  1.5 390344 ?       Sl   20:51:21 00:00:03 /usr/lib/libreoffice/program/soffice.bin --writer
fannybaws    15818  0.2  1.3 336616 ?       Sl   19:46:48 00:00:16 /usr/bin/plasmashell
root         41825  1.3  1.3 333852 pts/9   Sl+  21:35:46 00:00:10 wireshark
fannybaws    30764  0.4  1.2 305196 ?       Sl   20:57:40 00:00:13 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 39825 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {fa988b1a-592a-4f84-b771-2e73968fa711} 30433 true tab
fannybaws    15746  0.1  1.0 250288 ?       Sl   19:46:48 00:00:07 /usr/bin/kded5
blackbeard   21109  0.0  0.9 240052 ?       Sl   20:10:01 00:00:05 /usr/bin/kded5
j.silver     35411 99.9  0.9 224976 tty5    R+   21:28:01 00:21:07 stress --vm 4
j.silver     35409 99.9  0.9 224448 tty5    R+   21:28:01 00:21:07 stress --vm 4
j.silver     35408 99.9  0.9 223392 tty5    R+   21:28:01 00:21:07 stress --vm 4
j.silver     35410 99.9  0.9 222336 tty5    R+   21:28:01 00:21:07 stress --vm 4
blackbeard   26914  1.1  0.8 219220 ?       Sl   20:42:46 00:00:46 /usr/bin/plasma-systemmonitor
blackbeard   21114  0.3  0.8 204600 ?       Sl   20:10:01 00:00:22 /usr/bin/kwin_x11
blackbeard   26841  0.0  0.7 195824 ?       Sl   20:42:42 00:00:01 /usr/bin/systemsettings
fannybaws    15749  0.5  0.7 192596 ?       Sl   19:46:48 00:00:39 /usr/bin/kwin_x11
root         15368  0.4  0.6 162712 tty2    Ssl+ 19:46:35 00:00:29 /usr/lib/xorg/Xorg -nolisten tcp -auth /var/run/sddm/{4269aa45-5a93-41d9-ad1b-b108e185f40f} -background none -noreset -displayfd 18 -seat seat0 vt2
fannybaws    36170  0.2  0.6 159304 ?       Sl   21:31:48 00:00:02 /usr/bin/kate -b /home/fannybaws/dump3.txt
fannybaws    34199  0.1  0.6 151376 ?       Sl   21:16:05 00:00:02 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 35 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {e4e570f1-bdef-43bd-96d3-d24fac911344} 30433 true tab
root         15398  0.8  0.6 150876 tty3    Ssl+ 19:46:36 00:01:02 /usr/lib/xorg/Xorg -nolisten tcp -auth /var/run/sddm/{09798d88-ce53-4998-98a3-16dc9f9fc82e} -background none -noreset -displayfd 30 -seat seat0 vt3
blackbeard   28579  0.0  0.5 143492 ?       Sl   20:51:26 00:00:01 /usr/bin/kate -b --tempfile
fannybaws   117062  0.4  0.5 143300 ?       Sl   21:41:53 00:00:02 /usr/bin/konsole
fannybaws    18446  0.4  0.5 138656 ?       Rl   19:49:56 00:00:29 /usr/bin/konsole
blackbeard   40009  0.0  0.5 136840 ?       Sl   21:34:34 00:00:00 /usr/bin/konsole
root          1215  0.7  0.5 135224 ?       Ss   19:34:14 00:01:03 /sbin/mount.ntfs /dev/sdb4 /mnt/windows -o rw,errors=remount-ro
fannybaws    16064  0.0  0.5 135108 ?       SLl  19:46:53 00:00:00 /usr/bin/akonadi_mailfilter_agent --identifier akonadi_mailfilter_agent
fannybaws    16056  0.0  0.5 134804 ?       SLl  19:46:53 00:00:00 /usr/bin/akonadi_archivemail_agent --identifier akonadi_archivemail_agent
fannybaws    16095  0.0  0.5 133504 ?       SLl  19:46:53 00:00:00 /usr/bin/akonadi_unifiedmailbox_agent --identifier akonadi_unifiedmailbox_agent
fannybaws    16094  0.0  0.5 131344 ?       SLl  19:46:53 00:00:01 /usr/bin/akonadi_sendlater_agent --identifier akonadi_sendlater_agent
fannybaws    30674  0.0  0.4 120380 ?       Sl   20:57:39 00:00:02 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 34308 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {59eb7391-900c-4e21-b0d0-eebbc0414592} 30433 true tab
blackbeard   22612  0.1  0.4 119444 ?       Sl   20:11:14 00:00:08 /usr/bin/dragon
fannybaws    29387  2.2  0.4 115720 ?       Sl   20:54:49 00:01:12 /usr/bin/konsole
fannybaws    18364  0.0  0.4 113212 ?       Sl   19:48:43 00:00:07 /usr/bin/konsole
blackbeard   23884  0.0  0.4 109272 ?       Sl   20:13:03 00:00:01 /usr/bin/juk
blackbeard   29322  0.1  0.4 108404 ?       Sl   20:53:08 00:00:04 /usr/bin/konsole
blackbeard   21171  0.0  0.4 101308 ?       Sl   20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/polkit-kde-authentication-agent-1
fannybaws    32885  0.0  0.3 96048 ?        Sl   21:03:44 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 15 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {79a0184a-5eff-452c-811d-ac98ef85ada7} 30433 true tab
fannybaws    16027  0.0  0.3 73704 ?        Sl   19:46:53 00:00:00 /usr/sbin/mysqld-akonadi --defaults-file=/home/fannybaws/.local/share/akonadi/mysql.conf --datadir=/home/fannybaws/.local/share/akonadi/db_data/ --socket=/run/user/1000/akonadi/mysql.socket --pid-file=/run/user/1000/akonadi/mysql.pid
fannybaws    15985  0.0  0.2 71116 ?        Sl   19:46:53 00:00:00 /usr/bin/korgac
fannybaws    35422  0.0  0.2 68652 ?        Sl   21:28:03 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 46 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {bceaca41-4765-4cc0-8b5a-798e0bb9a673} 30433 true tab
fannybaws    35868  0.0  0.2 68336 ?        Sl   21:30:05 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 47 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {6a6d5d56-dc52-4eaa-b724-5f4ff1ddedaa} 30433 true tab
root        106456  0.0  0.2 68256 ?        Ssl  21:41:27 00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
fannybaws    36232  0.0  0.2 68028 ?        Sl   21:32:05 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -childID 48 -isForBrowser -prefsLen 33485 -prefMapSize 238609 -jsInitLen 236400 -parentBuildID 20230609063420 -appDir /snap/firefox/2760/usr/lib/firefox/browser {8fbe61a9-0bff-4799-badb-81ac82e8f6a5} 30433 true tab
blackbeard   20932  0.0  0.2 66560 ?        Sl   20:10:00 00:00:01 /usr/libexec/ibus-ui-gtk3
root          2376  0.2  0.2 62432 ?        Ssl  19:34:17 00:00:16 /usr/libexec/packagekitd
fannybaws    15568  0.0  0.2 62064 ?        Sl   19:46:48 00:00:01 /usr/libexec/ibus-ui-gtk3
fannybaws    16092  0.0  0.2 55584 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadi_newmailnotifier_agent --identifier akonadi_newmailnotifier_agent
blackbeard   20933  0.0  0.2 55276 ?        Sl   20:10:00 00:00:01 /usr/libexec/ibus-extension-gtk3
fannybaws    15570  0.0  0.2 54520 ?        Sl   19:46:48 00:00:01 /usr/libexec/ibus-extension-gtk3
blackbeard   21243  0.0  0.2 53264 ?        SLl  20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kdeconnectd
fannybaws    16061  0.0  0.2 53224 ?        SNl  19:46:53 00:00:00 /usr/bin/akonadi_indexing_agent --identifier akonadi_indexing_agent
