Name,PowerState,FolderPath,Host,Datacenter,VMXPath,CPUCores,MemGB,UsedSpaceGB,DatastoreList,NetworkAdapterCount,IPAddressCount
ceph-quincy-mgmt-node-1,PoweredOn,/M1/virtual_machines,esxi-66-M1.vsfi.org,M1,/vmfs/volumes/M1-ceph-isci-ssh/ceph-quincy-mgmt-node-1/ceph-quincy-mgmt-node-1.vmx,4,8,43,M1-ceph-isci-ssh,2,1
test-esxi-70-2,PoweredOn,/e-Style0Telecom/virtual_machines,esxi-37-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-iscsi-hdd/test-esxi-70-2/test-esxi-70-2.vmx,1,4,31,e-Style0Telecom-iscsi-hdd,3,2
ceph-quincy-mon-node-3,PoweredOn,/e-Style0Telecom/virtual_machines,esxi-49-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-ceph-icsi-hdd/ceph-quincy-mon-node-3/ceph-quincy-mon-node-3.vmx,3,1024,80,e-Style0Telecom-ceph-icsi-hdd,3,2
ceph-reef-mon-node-4,PoweredOn,/dataline/virtual_machines,esxi-29-dataline.vsfi.org,dataline,/vmfs/volumes/dataline-iscsi-hdd/ceph-reef-mon-node-4/ceph-reef-mon-node-4.vmx,1,16,81,dataline-iscsi-hdd,4,3
Ubuntu-5,PoweredOn,/Colocat/virtual_machines,esxi-68-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-local-hdd/Ubuntu-5/Ubuntu-5.vmx,2,256,10,Colocat-local-hdd,4,3
test-esxi-70-6,PowerOff,/dataline/virtual_machines,esxi-97-dataline.vsfi.org,dataline,/vmfs/volumes/dataline-ceph-icsi-hdd/test-esxi-70-6/test-esxi-70-6.vmx,1,1,49,dataline-ceph-icsi-hdd,4,3
pfSense-7,PowerOff,/M1/virtual_machines,esxi-86-M1.vsfi.org,M1,/vmfs/volumes/M1-iscsi-ssd/pfSense-7/pfSense-7.vmx,1,8,88,M1-iscsi-ssd,2,1
Workstation-8,PoweredOn,/Oxygen/virtual_machines,esxi-31-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-local-ssd/Workstation-8/Workstation-8.vmx,2,128,23,Oxygen-local-ssd,1,0
ceph-quincy-osd-node-9,PowerOff,/Colocat/virtual_machines,esxi-36-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-iscsi-ssd/ceph-quincy-osd-node-9/ceph-quincy-osd-node-9.vmx,4,1,39,Colocat-iscsi-ssd,1,0
Windows-10-10,PowerOff,/Oxygen/virtual_machines,esxi-37-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-local-ssd/Windows-10-10/Windows-10-10.vmx,2,64,31,Oxygen-local-ssd,1,0
patroni-prod-11,PowerOff,/e-Style0Telecom/virtual_machines,esxi-61-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-iscsi-ssd/patroni-prod-11/patroni-prod-11.vmx,3,1024,85,e-Style0Telecom-iscsi-ssd,1,0
Windows-2019-server12,PowerOff,/Colocat/virtual_machines,esxi-19-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-nfs-test-datastore/Windows-2019-server12/Windows-2019-server12.vmx,1,1,66,Colocat-nfs-test-datastore,4,3
ceph-reef-mon-node-13,PowerOff,/Mirea/virtual_machines,esxi-30-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-local-ssd/ceph-reef-mon-node-13/ceph-reef-mon-node-13.vmx,4,256,62,Mirea-local-ssd,4,3
New Virtual Machine-14,PoweredOn,/Colocat/virtual_machines,esxi-14-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-local-hdd/New Virtual Machine-14/New Virtual Machine-14.vmx,3,32,54,Colocat-local-hdd,3,2
patroni-prod-15,PowerOff,/Mirea/virtual_machines,esxi-46-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-local-hdd/patroni-prod-15/patroni-prod-15.vmx,4,1,52,Mirea-local-hdd,3,2
patroni-test-16,PoweredOn,/Oxygen/virtual_machines,esxi-76-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-nfs-test-datastore/patroni-test-16/patroni-test-16.vmx,2,64,63,Oxygen-nfs-test-datastore,3,2
pfSense-17,PowerOff,/Oxygen/virtual_machines,esxi-23-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-iscsi-hdd/pfSense-17/pfSense-17.vmx,4,128,10,Oxygen-iscsi-hdd,3,2
pfSense-18,PoweredOn,/Mirea/virtual_machines,esxi-41-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-local-hdd/pfSense-18/pfSense-18.vmx,4,64,86,Mirea-local-hdd,1,0
Ubuntu-19,PowerOff,/M1/virtual_machines,esxi-67-M1.vsfi.org,M1,/vmfs/volumes/M1-local-ssd/Ubuntu-19/Ubuntu-19.vmx,4,512,28,M1-local-ssd,1,0
Mikrotick-CHR-20,PoweredOn,/DataPlanet/virtual_machines,esxi-5-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-iscsi-hdd/Mikrotick-CHR-20/Mikrotick-CHR-20.vmx,4,1,59,DataPlanet-iscsi-hdd,1,0
ceph-reef-mgmt-node-21,PoweredOn,/Oxygen/virtual_machines,esxi-60-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-iscsi-ssd/ceph-reef-mgmt-node-21/ceph-reef-mgmt-node-21.vmx,3,32,35,Oxygen-iscsi-ssd,4,3
patroni-prod-22,PoweredOn,/DataPlanet/virtual_machines,esxi-19-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-local-hdd/patroni-prod-22/patroni-prod-22.vmx,4,1,74,DataPlanet-local-hdd,1,0
Nfs-share-23,PowerOff,/Digital-Media-House/virtual_machines,esxi-18-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-local-ssd/Nfs-share-23/Nfs-share-23.vmx,2,8,55,Digital-Media-House-local-ssd,3,2
ceph-reef-mon-node-24,PowerOff,/Digital-Media-House/virtual_machines,esxi-89-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-iscsi-hdd/ceph-reef-mon-node-24/ceph-reef-mon-node-24.vmx,2,1,22,Digital-Media-House-iscsi-hdd,1,0
New Virtual Machine-25,PowerOff,/M1/virtual_machines,esxi-97-M1.vsfi.org,M1,/vmfs/volumes/M1-ceph-icsi-hdd/New Virtual Machine-25/New Virtual Machine-25.vmx,1,4,52,M1-ceph-icsi-hdd,1,0
patroni-test-26,PowerOff,/dataline/virtual_machines,esxi-44-dataline.vsfi.org,dataline,/vmfs/volumes/dataline-iscsi-ssd/patroni-test-26/patroni-test-26.vmx,3,64,99,dataline-iscsi-ssd,3,2
test-esxi-80-27,PowerOff,/Digital-Media-House/virtual_machines,esxi-49-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-ceph-isci-ssh/test-esxi-80-27/test-esxi-80-27.vmx,2,32,18,Digital-Media-House-ceph-isci-ssh,4,3
ceph-reef-mon-node-28,PoweredOn,/Mirea/virtual_machines,esxi-66-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-nfs-test-datastore/ceph-reef-mon-node-28/ceph-reef-mon-node-28.vmx,3,256,75,Mirea-nfs-test-datastore,3,2
ceph-reef-osd-node-29,PowerOff,/M1/virtual_machines,esxi-29-M1.vsfi.org,M1,/vmfs/volumes/M1-iscsi-ssd/ceph-reef-osd-node-29/ceph-reef-osd-node-29.vmx,3,512,97,M1-iscsi-ssd,1,0
Nfs-share-30,PoweredOn,/M1/virtual_machines,esxi-41-M1.vsfi.org,M1,/vmfs/volumes/M1-local-hdd/Nfs-share-30/Nfs-share-30.vmx,3,512,42,M1-local-hdd,4,3
ceph-quincy-osd-node-31,PowerOff,/e-Style0Telecom/virtual_machines,esxi-71-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-ceph-icsi-hdd/ceph-quincy-osd-node-31/ceph-quincy-osd-node-31.vmx,1,2,63,e-Style0Telecom-ceph-icsi-hdd,2,1
ceph-quincy-mon-node-32,PowerOff,/Colocat/virtual_machines,esxi-88-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-iscsi-ssd/ceph-quincy-mon-node-32/ceph-quincy-mon-node-32.vmx,3,128,32,Colocat-iscsi-ssd,1,0
patroni-prod-33,PowerOff,/Oxygen/virtual_machines,esxi-63-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-local-ssd/patroni-prod-33/patroni-prod-33.vmx,3,2,34,Oxygen-local-ssd,4,3
Workstation-34,PoweredOn,/Oxygen/virtual_machines,esxi-20-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-ceph-isci-ssh/Workstation-34/Workstation-34.vmx,4,64,21,Oxygen-ceph-isci-ssh,3,2
